"AFQT" "Educ" "Income2005"
30.794 11 37000
78.739 16 31500
76.525 16 69000
65.825 12 80000
10.373 9 23000
88.257 16 28000
62.746 15 10000
46.696 14 125000
95.123 17 96000
43.221 16 120000
36.155 12 164307
47.18 17 100000
19.021 12 39000
65.997 12 9600
55.481 13 120000
41.794 11 50000
68.746 16 80000
28.374 16 110000
37.74 16 60000
80.272 19 34000
19.625 12 48000
76.624 16 58000
91.042 16 12000
89.893 16 20000
11.771 12 9000
11.374 12 17500
83.17 18 47000
32.899 12 10000
49.149 12 105000
39.687 12 41500
63.197 12 43000
78.241 15 70000
23.959 12 35000
93.142 12 60000
76.768 13 68000
66.314 18 62500
100 16 75000
24.833 12 11500
16.239 13 26000
85.102 12 68000
90.513 16 180733
68.615 12 31085
18.169 12 16000
73.351 14 21000
60.767 13 28000
99.379 19 55000
27.838 12 82000
1.622 12 21528
65.734 12 59000
71.472 12 22000
79.95 13 36000
75.485 16 77000
64.195 13 15000
97.365 14 47000
80.238 16 1500
93.639 16 40000
25.328 12 32000
47.638 12 14000
72.199 13 40300
48.986 18 50000
78.555 16 53000
86.548 18 65000
85.905 20 10000
31.254 13 21400
90.491 16 85000
79.33 14 78000
85.844 12 12000
95.508 16 20000
11.35 12 46000
76.189 16 86000
51.896 18 60000
93.653 19 388725
77.991 19 122000
13.303 12 30000
8.229 12 12000
50.498 12 196424
59.586 14 85000
13.761 12 20000
69.07 14 29821
92.866 16 25000
39.163 13 36000
64.295 14 53000
78.966 19 25000
71.792 12 90000
56.773 12 23000
26.498 12 28000
43.741 16 43000
26.381 16 73000
37.473 17 80000
61.184 13 50000
55.185 15 5000
33.208 12 20000
16.138 12 60000
21.108 12 98000
45.744 11 69000
72.071 12 15000
81.039 12 22000
99.154 16 10000
91.427 19 1100
86.423 18 147000
99.324 17 1200
83.317 17 36000
62.344 14 78500
76.633 20 42000
64.432 20 55000
33.668 14 5000
35.041 13 55000
73.326 13 36000
25.699 9 25000
53.342 12 80000
2.826 11 500
62.762 15 40000
72.782 13 35000
88.693 16 27000
45.803 16 32000
48.877 16 46136
35.747 12 95000
9.141 12 25000
52.674 15 36500
22.379 11 18000
1.31 12 4000
34.526 12 40000
60.396 12 35000
77.715 12 42000
86.137 16 163172
1.79 12 12500
43.472 12 61000
85.54 17 110000
77.736 16 58000
90.095 18 96000
39.786 14 75000
70.5 12 22000
76.234 16 85000
47.912 17 43000
59.991 16 30000
70.912 14 58000
79.232 12 29000
79.303 16 10000
2.926 12 50000
3.663 11 8400
8.563 12 20000
6.381 12 5000
45.808 18 52000
29.001 12 72000
79.313 18 57000
41.58 14 23000
36.055 13 45000
14.729 12 50000
10.566 9 9800
40.97 12 3000
46.092 13 56000
31.469 14 48000
26.594 12 41167
38.582 12 40000
80.637 13 41000
14.274 12 11000
26.688 11 20000
30.429 12 40000
6.818 12 48000
36.158 12 35000
24.725 13 22000
38.013 11 57500
26.792 12 25000
78.513 15 20000
97.319 20 74000
20.133 12 30000
70.604 15 100000
46.018 12 40000
51.017 12 35000
27.489 13 28820
31.508 12 41000
65.278 13 35500
70.368 12 50300
23.929 13 34000
28.746 16 55000
80.463 19 120000
54.906 12 37000
20.084 12 26000
31.118 14 35000
11.905 12 20000
55.614 15 25000
48.786 12 12000
34.18 12 23000
31.809 14 21000
34.236 12 3000
52.482 12 74000
53.534 14 35000
97.088 17 115000
79.85 16 85000
89.794 17 30000
60.353 14 26000
49.537 13 30000
42.361 12 15000
28.537 16 30000
61.347 16 30000
94.119 16 58000
68.375 12 72000
34.051 12 53000
32.078 14 54000
25.324 14 19327
17.362 12 30000
40.982 19 16000
13.465 12 35000
76.332 16 70000
91.719 16 115000
63.642 15 16000
86.99 16 10500
85.915 20 33000
19.541 12 16000
66.54 12 23400
39.343 16 29000
81.325 16 117000
35.569 13 85000
49.039 16 85000
99.18 18 34000
89.264 17 73000
92.042 20 169541
38.888 19 66000
38.997 12 20000
25.338 13 25000
4.208 15 30000
34.453 12 3000
22.976 16 67500
36.881 12 20000
82.62 13 85000
55.782 12 48000
50.954 12 22000
83.737 13 25000
23.25 12 46000
69.283 12 37500
49.173 12 29000
41.383 11 25000
38.088 12 125000
27.315 12 36000
71.872 16 176354
94.976 19 90000
25.657 12 40000
68.575 12 50000
79.765 20 52900
80.898 16 8000
64.498 16 42000
75.516 15 30000
98.089 18 52000
81.33 16 37000
21.826 12 50000
45.056 15 24000
82.756 19 183306
42.935 12 36000
98.804 16 15000
79.576 16 40000
83.208 15 31000
82.49 17 64320
93.511 19 90000
93.432 19 7000
82.465 16 37000
61.363 15 31330
91.404 16 34000
75.363 12 71500
92.122 14 57000
82.189 16 20000
86.877 16 120000
7.983 14 65000
55.885 12 90000
75.258 12 42000
26.769 12 30000
34.62 12 9800
58.404 15 15000
84.974 14 75000
21.712 12 38500
44.224 13 80000
55.978 12 43000
97.299 18 54000
51.523 16 37300
77.263 13 64000
64.067 12 70000
91.63 12 30000
52.109 12 72000
63.71 12 23600
45.546 12 40000
55.543 13 15000
41.439 12 35000
96.442 14 170247
88.979 15 150000
88.914 16 140000
67.25 14 45500
51.978 12 65000
28.308 12 48000
18.824 12 44000
17.834 12 56000
43.365 12 65000
44.379 12 31000
57.553 12 110000
53.275 12 3000
57.315 12 38000
65.073 12 42000
66.668 20 55000
62.466 18 51000
60.136 12 39000
30.891 12 60000
78.723 12 46000
67.602 16 27000
61.145 16 70000
27.973 14 56000
47.45 12 125000
34.339 12 45000
91.199 14 25000
100 17 29000
98.236 17 84000
26.365 12 17000
12.727 7 23000
64.065 14 24000
71.23 15 44000
28.954 12 26000
3.732 12 16000
4.871 12 25000
70.337 19 63
3.156 12 13000
84.635 18 51000
87.785 18 67000
89.341 18 183467
73.413 16 394058
15.555 12 24000
34.012 14 47000
33.045 12 12000
58.977 12 115000
45.58 12 20518
70.03 12 20160
0.958 9 12000
8.758 12 12649
35.78 18 65000
43.456 14 40000
88.023 16 61000
68.497 12 7500
76.163 14 38262
71.597 16 70000
65.317 12 36000
77.119 18 67500
1.672 9 35000
12.621 9 1300
51.083 10 24000
59.139 12 15000
50.614 16 35000
15.428 12 48000
97.926 14 59000
98.356 20 108000
89.998 19 50000
44.711 15 429
55.829 15 90000
65.903 18 61000
87.203 16 35000
44.401 12 44000
31.751 12 50000
31.89 14 30000
22.955 12 80000
99.147 16 37000
50.405 12 5000
65.998 11 53000
58.192 16 58000
72.569 16 60000
17.614 12 30000
83.528 16 180124
79.836 16 248713
58.247 12 6500
2.509 11 31000
4.843 10 2300
25.334 14 52000
39.245 12 25000
70.82 16 63000
27.018 14 31000
45.679 15 30000
34.867 14 20000
20.274 14 25000
42.776 13 20609
53.364 12 130000
62.064 16 77000
74.366 12 35000
64.846 13 150000
91.545 18 48000
90.731 16 95000
100 20 268384
58.93 16 140000
86.394 19 39000
79.064 15 130000
49.449 16 9000
82.941 20 120000
0.899 12 16200
7.51 12 38000
1.552 13 15000
15.04 13 12000
36.925 14 42000
29.091 12 24000
54.782 13 62000
70.563 18 52000
12.838 12 8000
64.562 12 80000
31.365 12 17000
36.464 12 31000
54.28 17 16000
52.948 12 21600
93.903 18 87000
17.735 13 50000
34.121 12 23000
62.762 14 3000
10.889 9 35000
66.079 14 50000
98.102 16 90000
37.465 12 39000
68.375 13 24000
92.033 16 46000
81.419 15 24000
6.841 16 32000
7.088 14 50000
10.393 14 21000
38.983 14 36000
8.107 13 16000
35.191 16 36000
51.781 15 209138
27.851 14 25000
46.54 16 130000
41.138 12 18000
70.51 15 257286
22.661 8 37000
6.629 12 43000
100 13 78000
51.798 13 56000
85.328 17 42000
82.181 16 80000
59.279 12 53000
66.383 13 42000
67.442 18 72000
50.056 16 157280
54.619 12 13000
50.963 12 20000
5.401 12 38000
61.346 18 40000
28.956 12 27000
96.033 17 70000
36.305 12 29800
85.66 16 16000
96.899 16 39000
69.216 16 15700
2.991 12 80000
13.4 12 26000
44.576 13 34000
24.991 12 52000
66.493 15 79000
67.269 16 62000
45.317 20 63000
26.78 12 45000
74.636 14 45000
45.789 14 16000
1.65 11 19000
20.731 12 12000
24.893 12 31000
61.57 12 41000
4.111 12 22000
77.186 12 38000
54.506 12 38685
82.219 16 30000
18.811 16 42000
36.667 17 50000
1.985 11 31980
8.681 11 10000
4.199 12 27000
10.283 13 22000
14.511 7 25000
85.258 14 40000
33.171 12 28600
36.634 12 29000
64.514 18 35000
15.586 8 50000
48.936 16 70000
97.372 18 100000
49.641 16 71000
2.513 13 40000
42.852 13 45000
19.642 12 25000
14.083 13 39000
82.535 14 45000
65.038 12 245549
19.342 12 15000
47.406 12 16000
24.715 12 50000
97.458 17 60000
98.242 16 12000
84.661 20 58000
88.937 12 42000
60.833 12 22000
96.289 14 35000
90.493 17 25000
66.956 16 26000
80.758 15 15000
45.16 13 51000
44.773 12 67000
8.674 12 23300
21.457 12 41000
67.176 16 51300
2.099 12 28000
35.947 13 23000
30.909 15 28000
44.428 12 26000
57.544 12 17407
27.174 12 52000
30.59 18 45000
77.51 12 30000
22.337 12 41400
43.214 11 85000
40.716 10 4000
25.797 12 19000
24.669 16 9200
79.584 12 40000
52.176 12 59000
69.185 14 28352
69.556 12 32176
60.233 14 12000
21.06 12 19000
84.972 16 3400
65.249 15 39100
79.707 14 6000
72.895 16 63000
77.537 15 45000
90.317 16 47000
33.184 14 171551
60.11 12 59000
21.756 12 56000
54.802 12 60000
69.894 15 54000
92.892 16 27300
22.782 12 16000
33.418 12 7000
27.228 12 10000
14.232 12 17000
44.794 12 120000
67.922 12 52000
70.988 14 35000
43.417 12 24000
53.921 16 368302
54.571 12 90000
45.157 17 20000
40.773 12 40000
48.83 12 19200
58.11 12 11040
29.107 12 18000
21.965 12 20000
58.937 18 65000
87.899 17 35942
55.357 16 60000
96.046 16 73000
36.485 12 20000
65.439 12 100000
96.226 16 85000
98.63 18 100035
86.213 20 100000
53.399 12 40000
49.697 12 56000
60.861 12 15000
51.871 12 48000
62.029 12 110000
1.532 14 75000
43.409 15 9400
71.136 12 153334
51.885 12 33000
61.986 14 26000
96.168 16 105000
48.05 18 60000
25.265 14 45000
7.672 12 80000
7.182 11 25000
30.508 12 24000
66.596 17 52000
84.465 16 115000
63.611 17 3000
95.901 15 10000
49.857 16 19000
67.544 13 60000
96.851 19 116000
47.189 12 44000
4.888 13 35000
5.654 15 13000
69.733 16 22000
78.662 16 12000
36.71 12 8000
27.375 12 29515
35.079 13 34000
46.099 14 8000
28.861 11 74000
73.734 14 40000
39.081 15 100000
81.518 15 45000
9.875 15 29000
37.054 12 46800
47.805 17 52000
77.653 12 56856
71.533 12 34000
87.518 14 15000
40.415 20 108888
56.703 9 3040
85.903 15 27100
77.562 12 27915
70.548 19 36000
91.449 17 12000
89.408 16 125000
53.687 13 155867
79.036 15 29000
13.65 8 8000
6.023 9 19000
62.879 12 45000
24.374 15 64000
30.175 12 40000
51.237 14 50000
17.492 13 32000
13.046 12 17000
6.12 12 18000
92.678 20 85000
87.281 18 188404
73.252 18 192896
74.288 14 68000
29.189 13 46000
75.798 18 68000
40.414 12 29000
31.547 12 900
61.428 12 20000
27.567 12 28000
42.755 12 25000
89.968 12 52000
35.098 13 26500
26.004 12 14000
18.192 12 35000
16.817 12 22000
90.923 18 130000
29.321 12 8000
88.272 20 30000
42.474 12 40000
42.428 12 12500
65.232 16 35000
9.128 12 11000
42.279 13 35675
13.298 12 18000
46.449 12 26800
84.709 14 83000
85.085 18 28000
24.004 12 32000
48.953 12 40574
86.141 12 26000
58.233 12 45000
97.146 18 25000
55.765 12 55000
49.375 14 25000
41.544 14 14103
95.324 19 48000
66.692 19 74481
27.775 12 48000
74.519 12 68000
57.75 14 2000
39.286 16 65000
66.523 12 44000
31.904 12 16000
53.586 12 21455
95.734 14 81000
95.174 16 45000
82.351 14 86000
41.857 12 16000
63.15 16 22000
45.219 18 42000
46.049 17 85000
87.413 19 24000
87.743 16 4000
79.36 14 60000
10.797 12 47000
79.33 15 45000
29.263 12 36000
48.541 12 100000
10.28 12 25000
63.4 12 67000
29.838 12 30000
52.187 12 25000
85.623 12 42000
61.486 16 40000
51.182 12 65000
80.742 12 41000
64.089 16 36000
37.901 12 50000
29.377 14 48000
59.974 12 25000
69.903 14 23000
15.656 12 46000
63.26 12 26000
24.185 13 68000
75.484 13 28000
33.083 15 3000
53.612 12 32000
59.463 12 9724
67.772 19 46000
35.088 12 12000
13.023 12 8000
84.088 16 78000
92.051 14 143000
75.4 19 12000
70.191 15 25000
39.888 12 32000
86.555 12 9200
54.184 12 27000
72.231 12 27640
23.806 12 26000
89.508 15 65000
93.336 19 9000
93.935 20 135000
77.209 18 5500
2.044 11 36000
22.171 12 32000
66.318 12 157117
56.852 16 52000
78.055 12 25000
91.541 19 2700
97.36 18 162919
85.929 14 14969
72.82 14 20000
91.215 18 6000
56.026 12 30000
27.156 12 24000
73.594 13 55000
88.874 16 33000
6.945 11 20000
68.805 12 30000
57.501 16 135000
31.002 15 9000
88.199 16 50000
39.555 18 110000
27.605 12 29000
43.433 12 60000
55.547 16 35000
13.237 12 60000
88.381 14 1000
89.269 12 4000
85.923 12 22000
77.334 12 58000
59.435 12 66000
30.985 12 39144
38.187 12 28000
59.98 12 17000
51.661 12 46000
94.93 16 26000
39.837 12 27000
48.513 12 40000
56.782 14 30000
20.616 12 40000
22.22 12 37000
69.551 12 48000
7.262 12 29000
32.475 16 92000
34.695 12 71000
35.591 13 62000
89.871 12 52000
81.726 12 90000
41.532 12 24000
68.95 12 34500
37.24 12 52000
73.284 14 5100
96.423 19 100000
60.326 14 9000
51.624 14 4000
9.545 12 26000
60.172 18 33600
84.248 16 115000
72.964 17 42000
55.993 14 104000
48.488 15 39400
9.566 9 10000
18.212 12 70000
55.103 17 34500
71.84 12 36000
40.889 12 55000
94.079 16 57000
61.172 13 50000
55.691 12 14000
77.202 14 34000
63.751 15 16557
46.721 12 28000
37.209 12 12000
53.265 12 40500
37.901 12 24000
63.872 12 3600
66.343 16 70000
28.73 14 60000
64.628 18 69000
26.635 12 12000
31.225 16 48000
88.021 16 57600
68.018 13 57000
35.637 14 63000
61.735 12 52000
72.005 16 44000
45.257 12 40000
75.725 12 65000
36.06 13 90000
17.457 14 36000
22.95 13 18000
13.425 9 30000
42.225 12 5280
96.691 17 65000
36.411 12 32000
81.08 16 35000
26.932 12 22500
61.699 15 26074
53.188 14 52000
70.593 14 30000
23.7 12 25000
18.385 13 36000
34.895 15 11000
49.406 12 43000
63.184 16 70000
97.867 16 82000
92.442 16 46000
39.914 12 55000
17.081 10 5000
16.597 12 56000
36.775 12 28263
64.933 12 33000
88.797 16 40000
92.195 18 64000
68.307 16 30000
68.218 12 58000
9.393 12 20000
6.124 12 7225
5.171 10 30000
16.2 8 45000
7.878 12 32000
42.749 12 13000
20.49 14 15000
5.007 12 15000
21.855 12 15000
18.606 12 13000
77.514 15 49000
95.913 13 50000
72.013 20 55000
96.655 16 26000
95.949 16 60200
97.706 16 47000
86.817 16 71500
80.788 17 112000
38.541 12 50000
49.802 12 25000
61.328 12 50000
24.702 12 30000
61.993 9 43000
63.353 12 46000
39.111 16 100000
65.301 16 102000
28.79 12 44000
65.774 12 26000
86.148 16 31000
69.687 16 40000
71.851 15 26524
53.448 13 85000
29.171 12 37500
74.637 14 35650
98.849 19 235236
78.245 14 68000
9.97 14 44000
2.093 10 14560
43.07 17 18500
3.283 12 99000
93.923 16 65000
55.494 13 80000
71.019 13 60000
73.886 12 22000
44.078 15 40000
45.054 12 8500
65.8 14 62000
57.65 15 68000
75.648 12 60000
6.227 12 13986
24.581 10 32000
83.187 12 24024
26.892 12 48000
9.333 11 18000
34.726 12 28800
41.414 14 13000
35.114 12 15000
14.248 12 40000
87.508 14 55000
23.088 13 42500
34.796 12 35000
24.569 10 55000
32.849 12 7500
7.627 12 35000
32.946 13 8200
47.464 12 75000
62.347 12 20000
89.248 12 35000
44.875 12 78000
79.569 14 125000
88.511 17 90000
68.273 12 32000
45.63 18 79000
56.491 14 36000
55.573 16 50000
48.144 13 37770
39.399 12 14750
57.518 12 23100
41.091 12 30000
26.828 12 4560
38.338 12 10875
62.172 17 61000
32.803 11 18420
84.734 13 185950
19.489 10 22000
67.455 12 46500
38.305 12 20000
97.301 12 42000
84.254 14 10574
74.784 12 56000
75.661 15 33000
37.129 12 20376
69.48 12 25000
21.622 12 29000
25.739 11 18000
57.85 13 30000
79.94 16 72000
90.558 14 48000
58.333 17 80000
9.203 12 60000
13.091 12 6000
28.439 12 5000
18.716 12 27000
24.83 12 41000
35.987 12 13100
29.224 12 38000
30.17 12 25000
98.399 12 70000
62.877 13 12800
38.63 16 98000
75.455 16 103000
42.818 12 52000
92.726 18 38000
65.344 16 36660
99.523 16 39500
86.171 16 33500
72.096 12 39800
70.61 12 19000
93.207 16 96000
74.219 19 61000
71.891 14 49000
30.568 12 16000
97.161 16 44000
74.666 14 32000
76.751 14 25000
88.401 18 24000
75.897 16 15300
66.774 16 70500
37.594 12 32000
7.222 12 22000
98.327 12 26350
20.223 12 34000
10.007 12 44000
51.366 13 56000
6.212 7 25500
97.318 18 70000
94.663 20 125000
87.121 16 60000
66.724 12 34000
43.541 12 22800
34.866 12 62000
73.986 13 37000
86.396 19 41000
78.782 16 51000
90.608 16 35000
81.963 12 25000
75.03 13 40000
23.741 12 50000
76.118 12 17000
56.648 14 95000
67.777 14 59500
93.856 20 33000
63.94 20 38000
77.623 18 8000
58.878 12 39264
74.682 17 70000
99.581 16 92000
58.714 18 40500
91.219 16 48000
94.6 18 68000
74.779 18 90000
47.616 14 220904
98.587 18 37000
57.532 12 15000
44.873 12 3983
53.648 12 31658
4.107 6 20000
17.893 12 20000
7.355 10 5300
4.014 12 8000
13.369 12 2000
7.37 9 18674
21.392 12 24000
1.722 9 13700
8.169 12 5000
30.126 12 23500
13.722 12 11000
16.569 7 17000
2.64 10 27000
30.421 13 22000
50.68 12 3890
5.464 12 12000
1.949 11 30000
78.514 20 40000
87.232 17 58000
74.478 14 32000
38.206 12 30000
34.223 12 28000
57.714 15 25000
63.262 20 80000
47.892 14 46000
2.09 6 6000
7.961 12 8000
25.652 16 88000
73.187 16 91500
56.056 16 125000
1.93 9 14000
22.776 12 36500
12.32 12 24000
13.404 12 25000
34.134 12 16257
6.748 12 26000
31.136 12 30620
90.519 16 45000
10.747 9 35000
34.081 16 62000
79.723 18 167252
92.116 14 26000
67.905 14 30500
59.815 10 50000
52.886 12 7000
19.73 16 10000
55.89 12 33955
62.998 14 27000
37.729 14 4000
52.01 12 28000
31.161 13 30000
13.768 9 9984
8.081 12 25000
51.839 12 26000
46.116 14 72000
8.889 14 33000
62.129 16 57000
30.365 16 10000
16.598 12 21000
31.63 14 34000
68.644 14 60000
76.999 12 19500
10.37 12 32000
56.208 12 18000
4.598 12 50000
98.512 18 35000
18.985 13 58000
32.049 16 52000
86.026 17 15000
49.671 12 8000
24.308 12 25000
86.52 16 75000
53.908 13 35000
13.683 12 82000
62.369 17 50000
4.517 12 32000
72.247 12 19000
47.307 12 48000
95.237 16 69500
73.761 13 71000
95.131 18 88000
96.898 14 50000
87.04 14 94000
100 20 70000
99.445 19 48000
97.137 16 19285
96.763 18 357310
33.73 12 33000
56.854 14 16000
84.767 12 56000
97.983 17 124000
41.306 12 40000
32.795 12 22000
57.774 13 120000
27.951 11 10000
56.211 16 74000
74.671 18 126000
56.887 18 80000
84.187 14 45000
94.588 16 166924
81.941 16 194031
85.579 18 162733
62.044 16 30000
98.481 18 500
98.731 20 33000
84.155 19 85000
93.168 18 35000
4.106 12 2000
36.386 12 15000
12.978 13 42000
52.232 12 75000
39.227 12 60000
96.193 16 10088
84.197 18 46000
70.097 16 32000
70.882 18 40000
98.472 15 65000
92.533 20 180621
18.324 13 10372
64.365 12 32000
85.937 16 62000
79.666 16 12500
52.547 16 20000
81.036 16 93000
54.754 14 35000
33.606 10 85000
80.16 20 35000
77.435 20 110000
78.001 19 68000
59.686 16 140000
2.081 9 2100
31.213 12 89000
95.172 14 42000
68.2 12 53000
40.065 12 40000
36.622 12 9000
98.312 20 170
53 13 18300
96.417 16 359118
90.461 16 100000
78.044 16 100000
74.992 12 5000
60.487 16 45000
64.927 12 97200
28.057 12 24000
68.855 14 60000
56.956 12 74000
65.906 12 42000
79.756 16 85000
63.843 18 85000
47.078 12 10800
35.837 12 30000
27.309 13 85000
94.201 14 1500
9.639 11 28500
75.947 18 150000
71.321 12 30000
84.533 12 52000
72.993 12 72000
71.201 12 65000
92.464 13 12000
13.119 12 30000
35.153 13 7200
3.838 8 60000
42.04 12 17000
29.399 12 15000
18.999 12 30000
19.496 12 18000
49.827 14 77000
82.256 16 282588
10.181 12 25000
16.973 12 70000
55.687 12 30000
63.437 12 37000
58.906 12 25000
89.903 16 183223
87.496 16 25000
93.403 15 13000
73.371 12 31600
39.958 14 41000
14.147 12 2200
42.733 12 18000
27.065 12 50000
65.348 15 22000
98.588 18 58000
80.097 18 43000
44.232 18 105000
40.008 12 40000
64.261 14 87000
35.994 12 28000
34.968 13 1200
16.094 12 22000
21.288 12 6000
85.855 18 120000
37.729 12 50000
52.478 13 73000
94.082 16 80000
100 18 106000
50.223 16 53000
80.71 16 5000
74.184 17 62000
85.289 16 138000
39.186 12 47000
79.758 16 151083
87.711 16 10000
56.562 16 60000
69.35 16 40000
49.448 15 30000
35.413 12 34000
90.399 19 115000
98.699 19 268323
96.789 18 152840
96.915 20 125000
15.835 12 55000
31.785 12 28000
25.518 12 40000
59.617 12 48000
66.428 12 72000
43.955 12 31500
69.661 19 53600
16.749 12 29500
88.518 14 32000
83.732 16 90000
92.189 16 135000
68.957 12 40000
50.82 13 6000
60.974 14 72000
87.803 12 67000
77.251 18 130000
81.344 14 6700
8.961 10 80000
61.426 14 41600
45.018 14 27000
64.311 15 30000
74.936 12 26000
69.055 12 3000
45.032 13 42000
85.024 19 28000
63.447 17 30000
96.819 19 46000
55.896 12 9000
58.532 16 50000
82.18 18 24000
38.573 12 49400
56.14 14 25000
99.453 14 12000
28.527 12 29000
67.565 12 26800
97.873 20 80000
98.634 18 75000
96.452 16 89000
44.505 16 250
78.896 12 23000
47.051 14 17000
10.456 12 24000
84.126 12 60000
60.446 19 147
55.405 13 37000
33.772 13 52000
50.333 15 113000
14.453 12 30000
39.989 13 1800
94.381 16 140000
93.795 20 150000
94.269 16 18000
21.33 15 20000
20.264 14 20000
92.951 17 54000
27.814 12 32000
18.024 11 25000
6.887 15 24000
15.354 10 6000
12.579 10 21000
30.357 12 96000
4.022 12 300
70.007 12 45000
21.713 13 145000
18.388 13 32000
89.081 18 89000
89.463 16 2000
38.607 18 39000
24.527 10 19968
19.847 12 58000
35.431 12 40000
59.694 14 10000
76.359 16 1200
16.881 12 44000
32.157 14 10000
62.443 14 50000
43.776 14 2000
63.141 18 150490
72.763 15 45000
67.272 16 32000
75.092 20 703637
51.063 12 68000
48.318 14 50000
74.979 18 73000
58.958 16 8220
81.031 18 99000
90.763 14 900
79.141 12 125000
65.907 16 45000
72.59 12 60000
80.348 20 80000
100 17 30824
33.465 13 45000
27.639 17 25000
65.826 19 85000
48.483 12 13000
35.316 13 32000
52.847 12 120000
95.206 13 43500
87.896 17 38500
73.196 16 65000
73.678 12 36000
41.461 12 8000
46.63 12 46000
76.206 14 72000
77.549 13 105000
75.246 18 2000
89.754 16 27000
86.745 14 33000
79.069 13 77000
84.702 16 200
100 17 171428
92.486 13 24626
68.906 16 4000
0 8 8000
0 7 14000
12.346 11 61000
25.156 12 19200
44.827 12 20000
63.061 12 61200
39.194 12 10000
14.135 14 26000
25.83 14 28000
63.241 16 57000
96.279 16 96000
82.154 12 35000
88.224 16 60000
43.428 12 17000
94.705 15 72000
18.838 12 40000
18.263 12 26000
63.21 14 18520
39.476 12 80000
65.371 14 47000
14.447 13 65000
34.632 12 39000
21.083 12 13000
66.416 12 47000
56.788 12 40000
51.167 13 87000
36.121 12 80000
63.829 14 24600
91.675 15 77000
43.096 12 41000
56.814 12 88000
56.313 14 67000
79.063 16 18000
21.706 12 18000
81.893 12 16000
18.312 12 27000
74.184 12 24000
99.396 18 97000
40.802 14 44000
13.607 12 500
27.02 13 52000
58.406 12 3800
95.493 16 62000
65.807 13 11000
85.393 14 135000
92.404 19 82376
38.672 12 26000
67.319 12 33900
36.551 11 37000
29.695 12 18000
5.665 12 3200
40.382 14 31000
55.054 15 65000
40.401 14 35000
23.819 14 40000
29.121 12 1500
62.616 12 25000
95.741 16 65000
83.704 14 38000
78.494 12 55000
65.232 10 38000
72.743 17 96000
83.662 12 60000
4.231 12 42000
16.231 12 5000
25.734 12 34000
84.823 12 36000
62.489 14 2760
19.175 12 42000
4.347 9 56000
18.677 10 14000
98.092 12 47000
28.797 12 56000
42.908 12 45000
75.229 12 36000
55.513 16 129000
77.911 18 150000
99.022 19 100000
18.188 12 16000
94.65 16 159168
76.091 14 43000
71.155 18 60000
51.56 12 50987
77.562 12 4471
61.802 12 56000
54.584 14 7000
57.648 12 60000
79.229 16 40000
57.872 13 35000
32.823 11 16000
90.06 16 69000
50.181 14 39000
18.919 15 7900
45.548 12 15000
91.863 19 10180
91.974 12 35000
78.008 16 89000
88.649 18 32500
38.967 12 32000
92.432 16 35000
92.207 16 26000
50.492 17 189210
1.107 12 21000
44.391 18 51000
33.724 17 38000
12.016 12 29400
33.934 12 32000
50.502 16 65000
8.601 11 38000
6.285 12 23400
38.955 14 4500
78.053 18 68000
89.195 13 36000
76.656 14 6360
93.677 16 10000
90.283 16 74000
90.778 16 60000
67.885 15 85000
76.418 16 69000
97.84 18 138000
